grade,sourceChapter,sourceLesson,targetChapter,targetLesson,score,flags,questionCount,url
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000","Trắc nghiệm Chia số tròn trục, tròn trăm cho số có một chữ số","Chủ đề 2: Nhân, chia các số trong phạm vi 1 000","5. Chia số tròn chục, tròn trăm cho số có một chữ số",64,low_score,8,https://vietjack.com/toan-3-cd/trac-nghiem-chia-so-tron-chuc-tron-tram-cho-so-co-mot-chu-so.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Chia cho số có một chữ số,"Chủ đề 2: Nhân, chia các số trong phạm vi 1 000",6. Chia cho số có một chữ số,92,ambiguous_match,8,https://vietjack.com/toan-3-cd/trac-nghiem-chia-cho-so-co-mot-chu-so.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Luyện tập (trang 79),CH?A MAP ???C,CH?A MAP ???C,0,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-luyen-tap-trang-79.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Luyện tập chung (trang 80),CH?A MAP ???C,CH?A MAP ???C,0,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-luyen-tap-chung-trang-80.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm So sánh số lớn gấp mấy lần số bé,"Chủ đề 2: Nhân, chia các số trong phạm vi 1 000",9. So sánh số lớn gấp mấy lần số bé,92,,10,https://vietjack.com/toan-3-cd/trac-nghiem-so-sanh-so-lon-gap-may-lan-so-be.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Giải bài toán có đến hai bước tính,"Chủ đề 2: Nhân, chia các số trong phạm vi 1 000",10. Giải bài toán có đến hai bước tính,92,,8,https://vietjack.com/toan-3-cd/trac-nghiem-giai-bai-toan-co-den-hai-buoc-tinh.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Làm quen với biểu thức số,"Chủ đề 2: Nhân, chia các số trong phạm vi 1 000",11. Làm quen với biểu thức số,92,,8,https://vietjack.com/toan-3-cd/trac-nghiem-lam-quen-voi-bieu-thuc-so.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Tính giá trị biểu thức số,"Chủ đề 2: Nhân, chia các số trong phạm vi 1 000",12. Tính giá trị của biểu thức số,60,low_score,8,https://vietjack.com/toan-3-cd/trac-nghiem-tinh-gia-tri-cua-bieu-thuc-so.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Tính giá trị biểu thức số (tiếp theo) (trang 91),"Chủ đề 2: Nhân, chia các số trong phạm vi 1 000",13. Tính giá trị của biểu thức số (tiếp theo),64,low_score|ambiguous_match,8,https://vietjack.com/toan-3-cd/trac-nghiem-tinh-gia-tri-cua-bieu-thuc-so-tiep-theo-trang-91.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Tính giá trị biểu thức số (tiếp theo) (trang 93),"Chủ đề 2: Nhân, chia các số trong phạm vi 1 000",13. Tính giá trị của biểu thức số (tiếp theo),64,low_score|ambiguous_match,8,https://vietjack.com/toan-3-cd/trac-nghiem-tinh-gia-tri-cua-bieu-thuc-so-tiep-theo-trang-93.jsp
